"id","nombre","musculo","tipo","imagen_ref","desc_corta"
"e29","Curl de Bíceps con Mancuernas","biceps","Aislamiento","media/exercises/e29.jpg","Con una mancuerna en cada mano, dobla los codos subiendo el peso y gira un poco la muñeca al final para apretar el bíceps. Puedes alternar o subir las dos juntas. Codos quietos."
"e55","Curl de Bíceps en Polea Baja","biceps","Aislamiento","media/exercises/e55.jpg","Polea a la altura del suelo. Dobla los codos jalando el agarre hacia arriba hasta apretar el bíceps. La polea mantiene tensión en todo el movimiento. Mantén los codos quietos."
"e12","Extensión de Tríceps Tumbado (Skull Crushers)","triceps","Aislamiento","media/exercises/e12.jpg","Acuéstate en el banco con la barra arriba. Mantén los codos apuntando al techo y quietos. Baja la barra hacia tu frente doblando solo los codos y sube extendiendo el tríceps (parte de atrás del brazo). Usa un peso que controles siempre."
"e19","Fondos en Paralelas (Tríceps)","triceps","Bodyweight","media/exercises/e19.jpg","Apóyate en las barras con los brazos estirados. Mantén el torso lo más vertical posible y baja doblando los codos hasta 90 grados; sube empujando con el tríceps. Si sientes molestia en el hombro, reduce el rango o evítalo."
"e30","Extensión de Tríceps sobre la Cabeza (Trasnuca)","triceps","Aislamiento","media/exercises/e30.jpg","Sostén el peso sobre la cabeza con los brazos estirados. Baja doblando los codos detrás de la nuca hasta sentir estirar el tríceps; sube extendiendo. Mantén los codos quietos apuntando hacia arriba."
"e31","Extensión de Tríceps a una Mano en Polea","triceps","Aislamiento","media/exercises/e31.jpg","Con un brazo a la vez, empuja hacia abajo la manija de la polea estirando el codo hasta apretar el tríceps. Mantén el codo pegado al cuerpo. Ideal para emparejar la fuerza de los dos brazos."
"e15","Curl Femoral Tumbado","piernas","Aislamiento","media/exercises/e15.jpg","Boca abajo en la máquina, dobla las rodillas llevando los talones hacia las nalgas apretando el femoral. Baja muy lento, en unos 3 segundos, sin despegar la cadera del apoyo ni usar impulso."
"e16","Elevación de Talones de Pie","piernas","Aislamiento","media/exercises/e16.jpg","Párate en el borde de un escalón con el peso en la punta del pie. Sube de puntillas lo más alto posible, aguanta 1 segundo arriba y baja despacio buscando el estiramiento completo de la pantorrilla."
"e35","Desplantes / Zancada","piernas","Compuesto","media/exercises/e35.jpg","Da un paso largo al frente y baja la rodilla trasera hacia el suelo. El torso permanece recto. La rodilla delantera apunta hacia el pie, no se desploma hacia adentro. Regresa y repite con la otra pierna."
"e39","Curl Femoral de Pie en Máquina","piernas","Aislamiento","media/exercises/e39.jpg","De pie y sujeto del apoyo, dobla una rodilla llevando el talón hacia atrás hasta apretar el femoral. Trabaja un pie a la vez y baja lento; no muevas la cadera ni uses impulso."
"e41","Step-up con Mancuernas","piernas","Funcional","media/exercises/e41.jpg","Con una mancuerna en cada mano, sube a un cajón o escalón firme pisando con un pie y empujando desde el talón, sin impulsarte con la pierna de abajo. Baja controlado y repite. Trabaja cuádriceps y glúteo. Cuenta las repeticiones por cada pierna."
"e59","Elevación de Talones Sentado","piernas","Aislamiento","media/exercises/e59.jpg","Sentado en la máquina con las rodillas bajo los apoyos, sube los talones lo más alto posible con pausa de 1 segundo y baja lento estirando. Esta posición enfatiza el sóleo, el músculo más profundo de la pantorrilla."
"e70","Sentadilla Goblet","piernas","Compuesto","media/exercises/e70.jpg","Sostén una mancuerna vertical frente a tu pecho con las dos manos. Pies separados al ancho de los hombros. Baja en sentadilla lo más profundo que puedas manteniendo la espalda recta y el pecho arriba. Ideal para aprender la mecánica correcta."
"e43","Hip Thrust en Máquina","gluteo","Compuesto","media/exercises/e43.jpg","Igual al hip thrust con barra pero en la máquina. Más fácil de usar y muy seguro. Empuja las caderas hacia arriba apretando el glúteo al máximo y baja controlado."
"e44","Patada de Glúteo en Polea","gluteo","Aislamiento","media/exercises/e44.jpg","Con la polea en el tobillo e inclinado al frente apoyando las manos, lleva la pierna atrás extendida y aprieta el glúteo al tope. El movimiento sale de la cadera: mantén la espalda recta y no la arquees."
"e45","Abducción de Cadera en Máquina","gluteo","Aislamiento","media/exercises/e45.jpg","Sentado en la máquina, empuja las piernas hacia afuera contra la resistencia y aprieta el glúteo medio al final. Inclínate un poco al frente para sentirlo más y regresa con control, sin que el peso te cierre de golpe."
"e60","Aducción de Cadera en Máquina","gluteo","Aislamiento","media/exercises/e60.jpg","Siéntate en la máquina con las piernas abiertas sobre los soportes. Junta las piernas con control contra la resistencia, sintiendo la cara interna del muslo, y regresa despacio sin dejar que el peso te abra de golpe."
"e46","Peso Muerto Piernas Rígidas","gluteo","Compuesto","media/exercises/e46.jpg","A diferencia del Peso Muerto Rumano, aquí las piernas van casi completamente rectas. Baja el peso frente a las piernas sintiendo el estiramiento máximo en la parte trasera del muslo. Usa poco peso — es muy exigente para la espalda baja. ⚠️ No recomendado si tienes dolor ciático, hernia de disco o mucha curva en la espalda baja."
"e61","Sentadilla Sumo","gluteo","Compuesto","media/exercises/e61.jpg","Pies muy separados y apuntando hacia afuera. Baja en sentadilla. Trabaja más el glúteo y la cara interna del muslo que la sentadilla normal."
"e73","Puente de Glúteo","gluteo","Bodyweight","media/exercises/e73.jpg","Acuéstate boca arriba con las rodillas dobladas y los pies en el suelo. Sube las caderas apretando el glúteo al máximo. Aguanta 1 segundo arriba y baja lento. Sin barra ni equipos — perfecto para comenzar o calentar."
"e17","Plancha Frontal","core","Isométrico","media/exercises/e17.jpg","Apoya los antebrazos y las puntas de los pies en el suelo. Mantén el cuerpo recto como una tabla, apretando abdomen y glúteo, sin dejar caer la cadera. Los ""reps"" son segundos que aguantas."
"e18","Crunch Abdominal","core","Bodyweight","media/exercises/e18.jpg","Acostado boca arriba con rodillas dobladas. Sube solo los hombros del suelo apretando el abdomen (el recto abdominal). No jales el cuello con las manos ni uses impulso. Baja lento."
"e49","Plancha Lateral","core","Isométrico","media/exercises/e49.jpg","Apoya el antebrazo bajo el hombro y el canto del pie; sube la cadera hasta que el cuerpo quede recto de lado. Aprieta el oblicuo y no dejes caer la cintura. Los ""reps"" son segundos por cada lado."
"e62","Russian Twist","core","Bodyweight","media/exercises/e62.jpg","Siéntate inclinado hacia atrás con las rodillas dobladas. Gira el torso de un lado al otro llevando las manos de lado a lado. Mantén la espalda recta, no redonda. Puedes apoyar los pies en el suelo si es muy difícil."
"e63","Hollow Body","core","Isométrico","media/exercises/e63.jpg","Boca arriba, pega la lumbar al suelo y levanta brazos y piernas unos 15 cm. Mantén la posición sin que la espalda baja se despegue; si se levanta, sube un poco los brazos o las piernas. Los ""reps"" son segundos."
"e72","Dead Bug","core","Bodyweight","media/exercises/e72.jpg","Acuéstate boca arriba. Sube los brazos al techo y dobla las rodillas a 90°. Pega la espalda baja al suelo. Baja el brazo derecho y la pierna izquierda a la vez sin despegar la espalda. Regresa y alterna. Lento y controlado."
"e20","Carrera / Caminata","cardio","Cardio","media/exercises/e20.jpg","Corre o camina en la cinta o al aire libre con la postura erguida y la pisada suave. Los ""reps"" son minutos. Busca un ritmo en el que puedas hablar entrecortado: ese es tu punto de cardio sostenible."
"e64","Bicicleta Estática","cardio","Cardio","media/exercises/e64.jpg","Ajusta el sillín para que la rodilla no se estire del todo abajo. Pedalea a una cadencia constante sin mecerte. Los ""reps"" son minutos: ideal para calentar o como cardio ligero sin impacto en las rodillas."
"e65","Remo Ergómetro","cardio","Cardio","media/exercises/e65.jpg","En la máquina de remo el orden es piernas, tronco y brazos: empuja con las piernas, inclínate un poco atrás y jala a la barriga; regresa a la inversa. Los ""reps"" son minutos. Espalda firme, trabaja todo el cuerpo."
"e66","Salto a la Cuerda","cardio","Cardio","media/exercises/e66.jpg","Salta la cuerda con saltos bajos sobre la punta del pie; el giro sale de las muñecas, no de los brazos. Los ""reps"" son minutos por ronda: empieza lento, aterriza suave y sube la velocidad cuando el ritmo te salga natural."
"e67","Elíptica","cardio","Cardio","media/exercises/e67.jpg","Pedalea erguido sin colgarte de los brazos, empujando con las piernas a una cadencia pareja. Los ""reps"" son minutos. Sin impacto en las rodillas: excelente para calentar o para días de recuperación activa."
"e74","HIIT / Intervalos","cardio","HIIT","media/exercises/e74.jpg","Alterna períodos de máximo esfuerzo (20-40 segundos) con períodos de descanso suave (20-40 segundos). Puedes hacerlo corriendo, en bici o saltando. Los ""reps"" son intervalos completos. Más efectivo que correr a ritmo constante para quemar grasa."
"e68","Peso Muerto Sumo","otro","Compuesto","media/exercises/e68.jpg","Pies muy abiertos con las puntas apuntando hacia afuera. Agarra la barra entre las piernas. Espalda recta y pecho arriba. Empuja el suelo con los pies para levantarte. Las rodillas siguen la dirección de los pies."
"e69","Clean & Press ⚠️ AVANZADO","otro","Funcional","media/exercises/e69.jpg","Levanta la barra del suelo de manera explosiva hasta los hombros y luego empuja hacia arriba. Es un movimiento avanzado que requiere aprender la técnica antes de usar peso. Pide guía a tu coach antes de intentarlo. ⚠️ Solo para nivel intermedio-avanzado con supervisión."
"e75","Burpees","cardio","Bodyweight","media/exercises/e75.jpg","Baja las manos al suelo, lleva los pies atrás (salta o da pasos si es tu primera vez), regresa los pies y salta arriba con los brazos al cielo. Descansa bien entre cada repetición — la calidad manda sobre la cantidad."
"e76","Saltos de Tijera","cardio","Bodyweight","media/exercises/e76.jpg","Salta abriendo las piernas y subiendo los brazos al mismo tiempo, luego salta juntándolos de nuevo. Ritmo constante y aterrizaje suave. Ideal para calentar o como cardio ligero."
"e77","Flexiones en Pared","pecho","Bodyweight","media/exercises/e77.jpg","Parado frente a la pared, apoya las manos a la altura del pecho. Dobla los codos acercándote a la pared y empuja de regreso. Cuerpo recto de cabeza a pies — no dejes caer la cadera."
"e78","Flexiones en Rodillas","pecho","Bodyweight","media/exercises/e78.jpg","Apoya las rodillas y las manos en el suelo. Mantén el cuerpo recto desde las rodillas hasta la cabeza y baja el pecho hacia el suelo doblando los codos. Sube empujando. Si la cadera cae o sube, es la señal de parar."
"e79","Fondos en Banco (Tríceps)","triceps","Bodyweight","media/exercises/e79.jpg","Siéntate en el borde de una silla firme, apoya las manos en el borde y desliza las nalgas hacia adelante. Baja doblando los codos hasta 90 grados y sube empujando con el tríceps (parte de atrás del brazo). Rodillas dobladas, pies en el suelo. Si sientes molestia en el hombro, detente."
"e81","Mountain Climbers","core","Bodyweight","media/exercises/e81.jpg","Apoya las manos en el suelo como en una flexión. Sin mover la cadera, lleva una rodilla hacia el pecho y regrésala, luego la otra. El cuerpo queda como una tabla que no se mueve excepto las piernas. Cuenta 1 repetición por cada pierna."
"e82","Superman","espalda","Isométrico","media/exercises/e82.jpg","Acuéstate boca abajo con los brazos extendidos al frente. Sube brazos y piernas del suelo al mismo tiempo apretando el glúteo. Aguanta 2 segundos y baja. La cabeza sigue el movimiento natural del cuerpo — no la fuerces hacia arriba."
"e83","Lagartijas (Push-up)","pecho","Bodyweight","media/exercises/e83.jpg","Apoya las manos y las puntas de los pies. El cuerpo queda recto como una tabla. Baja el pecho al suelo doblando los codos en diagonal (no hacia los lados) y sube empujando. Si no puedes completo, apoya las rodillas."
"e87","Patada Lateral en Polea","gluteo","Aislamiento","media/exercises/e87.jpg","Con la polea en el tobillo, párate de lado a la máquina. Lleva la pierna hacia afuera separándola del cuerpo. Core activo y espalda recta. Regresa lento sin dejar caer el pie. Siente el costado del glúteo trabajar."
"e88","Patada en Polea Rodilla Doblada","gluteo","Aislamiento","media/exercises/e88.jpg","Con la polea en el tobillo, inclínate ligeramente hacia adelante apoyando las manos. Dobla la rodilla a 90° y lleva el talón hacia el techo apretando el glúteo al máximo. No muevas la cadera. Baja lento."
"e89","Clamshell con Banda (Concha)","gluteo","Aislamiento","media/exercises/e89.jpg","Acuéstate de lado con las rodillas dobladas y la banda a la altura de las rodillas. Mantén los pies juntos y abre la rodilla de arriba hacia el techo lo que más puedas sin girar la cadera. Cierra lento. Vas a sentir el costado del glúteo trabajar — es exactamente lo que buscamos."
"e90","Fire Hydrant (Hidrante)","gluteo","Aislamiento","media/exercises/e90.jpg","Apoya manos y rodillas en el suelo (posición de cuatro apoyos). Sin mover la cadera, lleva una rodilla doblada hacia afuera y arriba, como un perro marcando territorio. Baja lento sin dejar caer la cadera. Cuenta las repeticiones por cada lado."
"e91","Frog Pump (Bomba de Rana)","gluteo","Aislamiento","media/exercises/e91.jpg","Acuéstate boca arriba y une las plantas de los pies con las rodillas abiertas hacia los lados (como una rana). Sube las caderas apretando el glúteo al máximo arriba. Baja sin llegar a tocar el suelo y repite. Vas a sentir una quema intensa en el glúteo — es lo normal."
"e92","Hip Thrust Unilateral","gluteo","Compuesto","media/exercises/e92.jpg","Igual que el hip thrust normal pero con una sola pierna en el suelo. Extiende la otra pierna hacia adelante. Sube la cadera apretando el glúteo del lado de la pierna apoyada. Es más difícil — usa primero solo el peso de tu cuerpo antes de agregar carga."
"e93","Sentadilla con Banda de Resistencia","piernas","Compuesto","media/exercises/e93.jpg","Coloca una banda de resistencia a la altura de las rodillas o muslos. Haz la sentadilla empujando las rodillas hacia afuera contra la banda — esto activa el costado del glúteo. No dejes que las rodillas colapsen hacia adentro. Es más difícil de lo que parece."
"e94","Abducción de Cadera de Pie con Banda","gluteo","Aislamiento","media/exercises/e94.jpg","Coloca la banda en los tobillos o justo encima de las rodillas. Párate en una pierna (apóyate en la pared si necesitas). Lleva la otra pierna hacia afuera separándola del cuerpo. Regresa lento sin dejar caer el pie. Siente el costado del glúteo trabajar."
"e95","Peso Muerto Rumano a Una Pierna","piernas","Compuesto","media/exercises/e95.jpg","Párate en una pierna con la mancuerna en la mano opuesta (mano derecha si apoyas en pie izquierdo). Inclínate hacia adelante desde la cadera dejando que la pierna libre suba hacia atrás, formando una T con el cuerpo. Siente el estiramiento en la parte de atrás del muslo. Regresa lento. Empieza sin peso hasta dominar el equilibrio."
"e96","Kickback con Banda (en Suelo)","gluteo","Aislamiento","media/exercises/e96.jpg","En cuatro apoyos (manos y rodillas en el suelo), coloca la banda alrededor de los pies. Extiende una pierna hacia atrás hasta que esté casi recta, apretando el glúteo al máximo. Baja lento sin dejar caer la rodilla al suelo. Cuenta las reps por cada lado. Para mayor dificultad, mantén 1 segundo arriba."
"e97","Pike Push-up (Flexión Pica)","hombros","Bodyweight","media/exercises/e97.jpg","Ponte en posición de flexión pero levanta la cadera formando una V o pico con el cuerpo. Baja la cabeza hacia el suelo doblando los codos, como si empujaras hacia arriba con los hombros. Cuanto más alta la cadera, más trabaja el hombro. Si es difícil, apoya las manos en una silla."
"e98","Press de Hombro con Banda","hombros","Compuesto","media/exercises/e98.jpg","Párate sobre el centro de la banda con los dos pies. Toma un extremo en cada mano a la altura de los hombros. Empuja las manos hacia arriba hasta estirar los brazos. Baja lento. Cuenta las repeticiones (no hay peso que anotar)."
"e99","Elevaciones Laterales con Banda","hombros","Aislamiento","media/exercises/e99.jpg","Párate sobre la banda con un pie. Toma los extremos y sube los brazos hacia los lados hasta la altura de los hombros, como abriendo alas. Baja despacio. No uses impulso. Cuenta las repeticiones."
"e100","Face Pull con Banda","hombros","Aislamiento","media/exercises/e100.jpg","Engancha la banda a algo firme a la altura de tu cara (una manija, un poste). Toma un extremo en cada mano y jala hacia tu frente abriendo los codos hacia los lados. Aprieta la parte de atrás de los hombros. Excelente para la postura."
"e101","Curl de Bíceps con Banda","biceps","Aislamiento","media/exercises/e101.jpg","Párate sobre la banda con los dos pies. Toma un extremo en cada mano con las palmas al frente. Dobla los codos subiendo las manos hacia los hombros y aprieta el bíceps. Mantén los codos pegados al cuerpo. Baja lento. Cuenta las repeticiones."
"e102","Curl Martillo con Banda","biceps","Aislamiento","media/exercises/e102.jpg","Párate sobre la banda. Toma los extremos con las palmas mirándose entre sí (como sosteniendo un martillo). Sube doblando los codos sin girar las muñecas, apretando bíceps y antebrazo. Codos quietos. Cuenta las repeticiones."
"e103","Dominada Supina (Chin-up)","biceps","Bodyweight","media/exercises/e103.jpg","Cuélgate de una barra con las palmas mirando hacia ti y las manos al ancho de los hombros. Sube hasta que el mentón pase la barra, sintiendo trabajar bíceps y espalda. Baja lento. Si no puedes solo, pon una banda bajo los pies para que te ayude."
"e104","Remo con Banda","espalda","Compuesto","media/exercises/e104.jpg","Engancha la banda a algo firme al frente (o pásala por una puerta). Siéntate o párate y toma un extremo en cada mano. Tira llevando los codos hacia atrás, juntando los omóplatos como si apretaras un lápiz entre ellos. Regresa lento. Cuenta las repeticiones."
"e105","Extensión de Tríceps con Banda","triceps","Aislamiento","media/exercises/e105.jpg","Engancha la banda en alto (una puerta, un poste). Toma el extremo con ambas manos y, con los codos pegados al cuerpo, estira los brazos hacia abajo apretando el tríceps. Sube lento sin mover los codos. Cuenta las repeticiones."
"e106","Puente de Glúteo a Una Pierna","gluteo","Bodyweight","media/exercises/e106.jpg","Acuéstate boca arriba con una rodilla doblada y el pie en el suelo; estira la otra pierna al aire. Sube la cadera apretando el glúteo de la pierna apoyada, manteniendo la otra recta. Baja lento sin tocar el suelo. Cuenta las repeticiones por cada lado."
"e107","Step-up a Peso Corporal","piernas","Funcional","media/exercises/e107.jpg","Párate frente a un escalón o banco firme. Sube apoyando todo un pie y empujando con esa pierna hasta quedar de pie arriba. Baja despacio controlando. Trabaja una pierna a la vez. Cuenta las repeticiones por cada lado. Usa un escalón más bajo si te cuesta."
"e108","Sentadilla a Una Pierna Asistida","piernas","Bodyweight","media/exercises/e108.jpg","Sujétate de un marco de puerta o algo firme con las manos. Párate en una pierna y baja como en una sentadilla, dejando la otra pierna al frente sin tocar el suelo. Usa los brazos solo lo necesario para ayudarte. Sube apretando la pierna. Cuenta las repeticiones por cada lado."
"e109","Elevaciones Y-T-W en Suelo","hombros","Bodyweight","media/exercises/e109.jpg","Acuéstate boca abajo. Levanta los brazos del suelo formando primero una Y (brazos arriba en diagonal), luego una T (brazos a los lados) y luego una W (codos doblados pegados al cuerpo). Aprieta la espalda alta en cada posición. Ideal para la postura y para cuidar los hombros."
"e111","Pec Deck (Máquina Contractora)","pecho","Aislamiento","media/exercises/e111.jpg","Siéntate con la espalda apoyada y agarra los manerales con los codos a la altura del pecho. Junta los brazos al frente apretando el pecho 1 segundo y abre despacio, sin dejar que el peso te jale de golpe. No abras más allá de donde el hombro se sienta cómodo."
"e112","Aperturas con Mancuernas en Banco","pecho","Aislamiento","media/exercises/e112.jpg","Acuéstate en el banco con una mancuerna en cada mano sobre el pecho. Con los codos un poco doblados y quietos, abre los brazos en arco hasta sentir el estiramiento del pecho y ciérralos como si abrazaras a alguien. Usa menos peso del que crees: aquí manda el estiramiento, no la carga."
"e113","Flexiones Inclinadas (Manos Elevadas)","pecho","Bodyweight","media/exercises/e113.jpg","Apoya las manos en un banco, mesa o baranda firme, con el cuerpo recto como una tabla. Baja el pecho hacia el apoyo doblando los codos y empuja para subir. Mientras más alto el apoyo, más fácil. Cuando logres 15 repeticiones fáciles, busca un apoyo más bajo."
"e114","Remo Sentado en Máquina","espalda","Compuesto","media/exercises/e114.jpg","Siéntate con el pecho apoyado en el cojín y agarra los manerales. Tira hacia ti llevando los codos hacia atrás y aprieta los omóplatos como si quisieras juntar ambos codos detrás de la espalda. Regresa despacio sin soltar el peso de golpe. El pecho no se despega del apoyo."
"e115","Encogimientos con Mancuernas","espalda","Aislamiento","media/exercises/e115.jpg","De pie con una mancuerna en cada mano a los lados del cuerpo, sube los hombros hacia las orejas lo más alto que puedas, aguanta 1 segundo y baja despacio. Los brazos quedan rectos todo el tiempo: solo se mueven los hombros, sin hacer círculos."
"e116","Hiperextensiones en Banco Romano","espalda","Compuesto","media/exercises/e116.jpg","Acomódate en el banco inclinado con los muslos en el cojín y los pies fijos. Cruza los brazos sobre el pecho, baja el torso controlado manteniendo la espalda recta y sube apretando glúteo y espalda baja hasta quedar en línea recta, sin pasar de ahí ni arquearte de más arriba."
"e117","Elevaciones Laterales en Polea","hombros","Aislamiento","media/exercises/e117.jpg","Párate de lado a la polea baja y toma la manija con la mano más lejana (el cable cruza por delante del cuerpo). Sube el brazo hacia el lado hasta la altura del hombro guiando con el codo y baja despacio. La polea hace que el hombro trabaje durante todo el recorrido."
"e118","Press Arnold con Mancuernas","hombros","Compuesto","media/exercises/e118.jpg","Sentado, sostén las mancuernas frente al pecho con las palmas mirando hacia ti. Empuja hacia arriba girando las muñecas, de modo que arriba las palmas miren al frente. Baja deshaciendo el giro, despacio. Usa menos peso que en el press normal: el giro es lo que trabaja."
"e119","Posteriores en Máquina (Pec Deck Inverso)","hombros","Aislamiento","media/exercises/e119.jpg","Siéntate de frente al respaldo de la máquina contractora y agarra los manerales con los brazos extendidos al frente. Abre los brazos hacia atrás como si quisieras juntar los omóplatos, aguanta 1 segundo y regresa despacio. Trabaja la parte de atrás del hombro, la que casi nadie entrena."
"e120","Curl Concentrado con Mancuerna","biceps","Aislamiento","media/exercises/e120.jpg","Siéntate con las piernas abiertas y apoya el codo contra la parte interna del muslo. Sube la mancuerna doblando el codo y apretando el bíceps, aguanta arriba y baja despacio hasta estirar el brazo. El codo nunca se despega del muslo. Un brazo a la vez."
"e121","Curl Inclinado con Mancuernas","biceps","Aislamiento","media/exercises/e121.jpg","Recuéstate en un banco inclinado con una mancuerna en cada mano y deja los brazos colgar hacia atrás. Sube doblando solo los codos, sin mover los hombros, y baja muy despacio hasta sentir el estiramiento del bíceps. Usa menos peso que en el curl normal: el estiramiento es la clave."
"e122","Patada de Tríceps con Mancuerna (Kickback)","triceps","Aislamiento","media/exercises/e122.jpg","Inclínate hacia adelante con la espalda recta (puedes apoyar una mano en un banco). Sube el codo hasta que el brazo quede paralelo al suelo y, sin moverlo de ahí, estira el antebrazo hacia atrás apretando el tríceps. Regresa despacio. Si necesitas balancearte, baja el peso."
"e123","Flexiones Diamante","triceps","Bodyweight","media/exercises/e123.jpg","Ponte en posición de lagartija pero con las manos juntas debajo del pecho, formando un diamante con los dedos. Baja con los codos pegados al cuerpo y empuja para subir, sintiendo la parte de atrás del brazo. Si aún no dominas las lagartijas normales, empieza por esas."
"e124","Zancada Inversa","piernas","Compuesto","media/exercises/e124.jpg","De pie, da un paso largo hacia atrás y baja la rodilla de atrás hacia el suelo, manteniendo el torso recto. Empuja con el talón de la pierna de adelante para volver a ponerte de pie. Más amable con las rodillas que la zancada hacia adelante. Cuenta las repeticiones por cada lado."
"e125","Zancada Caminando con Mancuernas","piernas","Compuesto","media/exercises/e125.jpg","Con una mancuerna en cada mano, da un paso largo al frente, baja la rodilla trasera hacia el suelo y, al subir, encadena el paso con la otra pierna avanzando. El torso siempre recto y las rodillas en la dirección de los pies. Cuenta las repeticiones por cada pierna."
"e126","Curl Femoral Sentado en Máquina","piernas","Aislamiento","media/exercises/e126.jpg","Siéntate con la espalda bien pegada al respaldo y las piernas sobre el rodillo. Dobla las rodillas llevando los talones hacia abajo y atrás, apretando la parte trasera del muslo, y regresa muy despacio. No despegues la cadera del asiento al hacer fuerza."
"e127","Sentadilla Frontal con Barra","piernas","Compuesto","media/exercises/e127.jpg","Apoya la barra al frente, sobre los hombros, con los codos apuntando hacia adelante y bien altos. Baja en sentadilla manteniendo el torso lo más vertical posible y sube empujando el suelo. Si los codos caen, la barra se rueda: empieza con poco peso hasta dominar la posición."
"e128","Sentadilla Isométrica en Pared (Wall Sit)","piernas","Isométrico","media/exercises/e128.jpg","Apoya toda la espalda en una pared y baja deslizándote hasta que los muslos queden paralelos al suelo, como sentado en una silla invisible. Aguanta ahí respirando normal, sin apoyar las manos en las piernas. Los ""reps"" son segundos. Quema, pero es muy seguro."
"e129","Paseo Lateral con Banda","gluteo","Aislamiento","media/exercises/e129.jpg","Ponte una banda alrededor de las piernas (arriba de las rodillas), baja a media sentadilla y da pasos hacia un lado sin que los pies se junten del todo, manteniendo la banda siempre estirada. Da los pasos hacia un lado y luego regresa. Sentirás arder el costado de la cadera: ese es el músculo que cuida tus rodillas."
"e130","Patada de Glúteo en Cuadrupedia","gluteo","Bodyweight","media/exercises/e130.jpg","Ponte en el suelo sobre manos y rodillas. Con la rodilla doblada, sube una pierna llevando el talón hacia el techo y aprieta el glúteo arriba 1 segundo. Baja sin tocar el suelo y repite. No arquees la espalda baja para subir más: el movimiento es de la cadera. Cuenta las repeticiones por cada lado."
"e131","Crunch en Polea Alta","core","Aislamiento","media/exercises/e131.jpg","Arrodíllate frente a la polea alta sosteniendo la cuerda a los lados de la cabeza. Enróllate hacia abajo llevando los codos hacia los muslos, apretando el abdomen como si quisieras juntar las costillas con la cadera. Regresa despacio. Los brazos solo sostienen: el que jala es el abdomen."
"e132","Elevación de Piernas Tumbado","core","Bodyweight","media/exercises/e132.jpg","Acuéstate boca arriba con las manos bajo la cadera y la espalda baja pegada al suelo. Sube las piernas casi rectas hasta la vertical y bájalas despacio sin que la espalda baja se despegue del piso. Si se despega, dobla un poco las rodillas. Mucho más accesible que la versión colgado de la barra."
